name,vaddr,file_offset,size,flags
,0x00000000,0x0,0x0,0x0
.text,0x00100000,0x1000,0x2865E4,0x7
.vutext,0x003865F0,0x2875F0,0x12D0,0x6
.reginfo,0x00000000,0x2DA434,0x18,0x0
.DVP.ovlytab,0x00000000,0x2DA44C,0x30,0x1
.DVP.ovlystrtab,0x00000000,0x2DA47C,0x91,0x0
.DVP.overlay..0x0.3273603939.51.0,0x00000000,0x2DA50D,0x7A8,0x5
.DVP.overlay..0x400.3422538243.196.0,0x00000000,0x2DACB5,0x20,0x5
.DVP.overlay..0x0.3422538243.316.1,0x00000000,0x2DACD5,0xC0,0x5
.DVP.overlay..0x200.3422538243.453.2,0x00000000,0x2DAD95,0xA0,0x5
.data,0x00387900,0x288900,0x1754C,0x3
.vudata,0x0039EE50,0x29FE50,0x6F90,0x3
.rodata,0x003A5E00,0x2A6E00,0x290C8,0x2
.sdata,0x003CEF00,0x2CFF00,0xA4C4,0x10000003
.sbss,0x003D9400,0x2DA400,0xE4C,0x10000003
.bss,0x003DA280,0x2DA434,0x298EE8,0x3
.vubss,0x00673168,0x2DA434,0x0,0x3
.shstrtab,0x00000000,0x2DAE35,0x10D,0x0
